"Filogênese (F)",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Escrita (E)",,,,,,,,,,,,,,,,,,,,,
,,,"Microgênese (M)",,,,,,,,,,,,,,,,,,
,,,"Função Cognitiva (FC)",,,,,,,,,,"Função Executiva (FE)",,,,,,"Função Conativa (FN)",,
"Ontogênese",,,"Linguagem (L)","Memória (M)","Atenção (A)","Percepção (P)","Emoção (E)","Lógica (O)","Imaginário (I)","Transitividade (T)","Raciocínio (R)","Representação (S)","Controle Inibitório (CI)","Flexibilidade Cognitiva (FC)","Memória de Trabalho (MT)","Tomada de Decisão (TD)","Planejamento (PL)","Antecipação Lógica (AL)","Valor (VA)","Expectativ (EX)","Afetivo (AF)"
"Habilidades de Alfabetização","ORALIDADE (O)","Consciência fonêmica (CF)","FEMFCLOFC","FEMFCMOFC","FEMFCAOFC","FEMFCPOFC","FEMFCEOFC","FEMFCOOFC","FEMFCIOFC","FEMFCTOFC","FEMFCROFC","FEMFCSOFC","FEMFECIOFC","FEMFEFCOFC","FEMFEMTOFC","FEMFETCOFC","FEMFEPLOFC","FEMFEALOFC","FEMFNVAOFC","FEMFNEXOFC","FEMFNAFOFC"
,,"Expressão e compreensão da linguagem oral (LO)","FEMFCLOLO","FEMFCMOLO","FEMFCAOLO","FEMFCPOLO","FEMFCEOLO","FEMFCOOLO","FEMFCIOLO","FEMFCTOLO","FEMFCROLO","FEMFCSOLO","FEMFECIOLO","FEMFEFCOLO","FEMFEMTOLO","FEMFETCOLO","FEMFEPLOLO","FEMFEALOLO","FEMFNVAOLO","FEMFNEXOLO","FEMFNAFOLO"
,,"Apresentação e colaboração discursiva (CD)","FEMFCLOCD","FEMFCMOCD","FEMFCAOCD","FEMFCPOCD","FEMFCEOCD","FEMFCOOCD","FEMFCIOCD","FEMFCTOCD","FEMFCROCD","FEMFCSOCD","FEMFECIOCD","FEMFEFCOCD","FEMFEMTOCD","FEMFETCOCD","FEMFEPLOCD","FEMFEALOCD","FEMFNVAOCD","FEMFNEXOCD","FEMFNAFOCD"
,"LEITURA (L)","Entendimento do princípio alfabético (PA)","FEMFCLLPA","FEMFCMLPA","FEMFCALPA","FEMFCPLPA","FEMFCELPA","FEMFCOLPA","FEMFCILPA","FEMFCTLPA","FEMFCRLPA","FEMFCSLPA","FEMFECILPA","FEMFEFCLPA","FEMFEMTLPA","FEMFETCLPA","FEMFEPLLPA","FEMFEALLPA","FEMFNVALPA","FEMFNEXLPA","FEMFNAFLPA"
,,"Compreensão leitora (CL)","FEMFCLLCL","FEMFCMLCL","FEMFCALCL","FEMFCPLCL","FEMFCELCL","FEMFCOLCL","FEMFCILCL","FEMFCTLCL","FEMFCRLCL","FEMFCSLCL","FEMFECILCL","FEMFEFCLCL","FEMFEMTLCL","FEMFETCLCL","FEMFEPLLCL","FEMFEALLCL","FEMFNVALCL","FEMFNEXLCL","FEMFNAFLCL"
,"ESCRITA (E)","Sistema de Escrita (SE)","FEMFCLESE","FEMFCMESE","FEMFCAESE","FEMFCPESE","FEMFCEESE","FEMFCOESE","FEMFCIESE","FEMFCTESE","FEMFCRESE","FEMFCSESE","FEMFECIESE","FEMFEFCESE","FEMFEMTESE","FEMFETCESE","FEMFEPLESE","FEMFEALESE","FEMFNVAESE","FEMFNEXESE","FEMFNAFESE"
,,"Reconhecimento de Letras (RL)","FEMFCLERL","FEMFCMERL","FEMFCAERL","FEMFCPERL","FEMFCEERL","FEMFCOERL","FEMFCIERL","FEMFCTERL","FEMFCRERL","FEMFCSERL","FEMFECIERL","FEMFEFCERL","FEMFEMTERL","FEMFETCERL","FEMFEPLERL","FEMFEALERL","FEMFNVAERL","FEMFNEXERL","FEMFNAFERL"
,,"Domínio das convenções gráficas (CG)","FEMFCLECG","FEMFCMECG","FEMFCAECG","FEMFCPECG","FEMFCEECG","FEMFCOECG","FEMFCIECG","FEMFCTECG","FEMFCRECG","FEMFCSECG","FEMFECIECG","FEMFEFCECG","FEMFEMTECG","FEMFETCECG","FEMFEPLECG","FEMFEALECG","FEMFNVAECG","FEMFNEXECG","FEMFNAFECG"
,,"Desenvolvimento consciência fonológica (DF)","FEMFCLEDF","FEMFCMEDF","FEMFCAEDF","FEMFCPEDF","FEMFCEEDF","FEMFCOEDF","FEMFCIEDF","FEMFCTEDF","FEMFCREDF","FEMFCSEDF","FEMFECIEDF","FEMFEFCEDF","FEMFEMTEDF","FEMFETCEDF","FEMFEPLEDF","FEMFEALEDF","FEMFNVAEDF","FEMFNEXEDF","FEMFNAFEDF"
,,"Produção Escrita (PE)","FEMFCLEPE","FEMFCMEPE","FEMFCAEPE","FEMFCPEPE","FEMFCEEPE","FEMFCOEPE","FEMFCIEPE","FEMFCTEPE","FEMFCREPE","FEMFCSEPE","FEMFECIEPE","FEMFEFCEPE","FEMFEMTEPE","FEMFETCEPE","FEMFEPLEPE","FEMFEALEPE","FEMFNVAEPE","FEMFNEXEPE","FEMFNAFEPE"
,,,,,,,,,,,,,,,,,,,,,
"FILOGÊNESE ",,,,,,,,,,,,,,,,,,,,,
"ESCRITA",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"MICROGÊNESE",,,,,,,,,,,,,,,,,,,,,
"FUNÇÃO COGNITIVA",,,,,,,,,,,,,,,,,,,,,
"Linguagem (L)",,,,,,,,,,,,,,,,,,,,,
"FEMFCLOFC","Linguagem e Consciência Fonêmica",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"FEMFCLOLO","Linguagem e Expressão e Compreensão da Linguagem Oral",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"FEMFCLOCD","Linguagem e Apresentação e Colaboração Discursiva",,,,,,,,,,,,,,,,,,,,
